Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
crr,+,2533856,2534365,,,,,,,,,
pdxK,-,2534408,2535259,,,,,,,,,
yfeK,+,2535364,2535738,,,,,,,,,
yfeS,+,2535771,2536505,,,,,,,,,
cysM,-,2536694,2537605,,,,,,,,,
cysA,-,2537739,2538836,,,,,,,,,
cysW,-,2538826,2539701,,,,,,,,,
cysU,-,2539701,2540534,,,,,,,,,
cysP,-,2540534,2541550,,,,,,,,,
ucpA,-,2541854,2542645,,,,,,,,,
murR,-,2542774,2543631,,,,,,,,,
murQ,+,2543795,2544691,,,,,,,,,
murP,+,2544695,2546119,,,,,,,,,
yfeW,+,2546124,2547428,,,,,,,,,
yfeX,-,2547668,2548567,,,,,,,,,
yfeY,-,2548663,2549238,,,,,,,,,
yfeZ,-,2549299,2549748,,,,,,,,,
ypeA,-,2549735,2550160,,,,,,,,,
amiA,+,2550374,2551243,,,,,,,,,
hemF,+,2551247,2552146,,,,,,,,,
eutR,-,2552152,2553204,,,,,,,,,
eutK,-,2553250,2553750,,,,,,,,,
eutL,-,2553763,2554422,,,,,,,,,
eutC,-,2554432,2555319,,,,,,,,,
eutB,-,2555340,2556701,,,,,,,,,
intZ,+,2556793,2558088,,,,,,,,,
yffL,+,2558279,2558920,,,,,,,,,
yffM,+,2559390,2559635,,,,,,,,,
yffN,+,2559632,2560015,,,,,,,,,
yffO,+,2560133,2560549,,,,,,,,,
yffP,+,2560546,2561139,,,,,,,,,
yffQ,+,2561599,2561991,,,,,,,,,
yffR,+,2562002,2562394,,,,,,,,,
yffS,+,2562515,2563354,,,,,,,,,
eutA,-,2563503,2564906,,,,,,,,,
eutH,-,2564903,2566129,,,,,,,,,
eutG,-,2566346,2567533,,,,,,,,,
eutJ,-,2567523,2568359,,,,,,,,,
eutE,-,2568370,2569773,,,,,,,,,
eutN,-,2569785,2570072,,,,,,,,,
eutM,-,2570179,2570472,,,,,,,,,
eutD,-,2570511,2571527,,,,,,,,,
eutT,-,2571524,2572327,,,,,,,,,
eutQ,-,2572324,2573025,,,,,,,,,
eutP,-,2573000,2573479,,,,,,,,,
eutS,-,2573492,2573827,,,,,,,,,
maeB,-,2574120,2576399,,,,,,,,,
talA,+,2576688,2577638,,,,,,,,,
tktB,+,2577658,2579661,,,,,,,,,
ypfG,-,2579756,2580799,,,,,,,,,
nudK,-,2580925,2581500,,,,,,,,,
aegA,-,2581568,2583547,,,,,,,,,
narQ,+,2583753,2585453,,,,,,,,,
acrD,+,2585617,2588730,,,,,,,,,
ypfM,-,2588829,2588888,,,,,,,,,
yffB,+,2589269,2589625,,,,,,,,,
dapE,+,2589629,2590756,,,,,,,,,
ypfN,+,2590784,2590984,,,,,,,,,
ypfH,-,2591094,2591792,,,,,,,,,
tmcA,-,2591866,2593881,,,,,,,,,
ypfJ,-,2593896,2594759,,,,,,,,,
purC,-,2594927,2595640,,,,,,,,,
bamC,-,2595853,2596887,,,,,,,,,
dapA,-,2596904,2597782,,,,,,,,,
gcvR,+,2597928,2598500,,,,,,,,,
bcp,+,2598500,2598970,,,,,,,,,
hyfA,+,2599223,2599840,,,,,,,,,
hyfB,+,2599840,2601858,,,,,,,,,
hyfC,+,2601869,2602816,,,,,,,,,
hyfD,+,2602833,2604272,,,,,,,,,
hyfE,+,2604284,2604934,,,,,,,,,
hyfF,+,2604939,2606519,,,,,,,,,
hyfG,+,2606509,2608176,,,,,,,,,
hyfH,+,2608186,2608731,,,,,,,,,
hyfI,+,2608728,2609486,,,,,,,,,
hyfJ,+,2609479,2609892,,,,,,,,,
hyfR,+,2609922,2611934,,,,,,,,,
focB,+,2611956,2612804,,,,,,,,,
yfgO,-,2612842,2613903,,,,,,,,,
bepA,+,2614116,2615579,,,,,,,,,
yfgD,+,2615600,2615959,,,,,,,,,
hda,-,2616097,2616798,,,,,,,,,
uraA,-,2616893,2618182,,,,,,,,,
upp,-,2618268,2618894,,,,,,,,,
purM,+,2619219,2620256,,,,,,,,,
purN,+,2620256,2620894,,,,,,,,,
ppk,+,2621066,2623132,,,,,,,,,
ppx,+,2623137,2624678,,,,,,,,,
yfgF,-,2624717,2626960,,,,,,,,,
yfgG,+,2627312,2627503,,,,,,,,,
yfgH,+,2627814,2628332,,,,,,,,,
yfgI,+,2628348,2628887,,,,,,,,,
guaA,-,2628980,2630557,,,,,,,,,
guaB,-,2630626,2632092,,,,,,,,,
xseA,+,2632254,2633624,,,,,,,,,
yfgJ,-,2633621,2633836,,,,,,,,,
der,-,2633906,2635378,,,,,,,,,
bamB,-,2635496,2636674,,,,,,,,,
yfgM,-,2636685,2637305,,,,,,,,,
hisS,-,2637323,2638597,,,,,,,,,
sroE,-,2638617,2638708,,,,,,,,,
ispG,-,2638708,2639826,,,,,,,,,
rodZ,-,2639853,2640866,,,,,,,,,
rlmN,-,2641151,2642305,,,,,,,,,
ndk,-,2642455,2642886,,,,,,,,,
pbpC,-,2643035,2645347,,,,,,,,,
yfhM,-,2645348,2650309,,,,,,,,,
sseA,+,2650516,2651361,,,,,,,,,
C0614,-,2651474,2651560,,,,,,,,,
IS128,+,2651537,2651745,,,,,,,,,
ryfA,+,2651877,2652180,,,,,,,,,
sseB,-,2652179,2652955,,,,,,,,,
pepB,-,2653097,2654380,,,,,,,,,
iscX,-,2654558,2654758,,,,,,,,,
fdx,-,2654770,2655105,,,,,,,,,
hscA,-,2655107,2656957,,,,,,,,,
hscB,-,2656974,2657489,,,,,,,,,
iscA,-,2657585,2657908,,,,,,,,,
iscU,-,2657925,2658311,,,,,,,,,
iscS,-,2658339,2659553,,,,,,,,,
iscR,-,2659665,2660153,,,,,,,,,
trmJ,-,2660605,2661345,,,,,,,,,
suhB,+,2661464,2662267,,,,,,,,,
yfhR,+,2662385,2663266,,,,,,,,,
csiE,+,2663457,2664737,,,,,,,,,
hcaT,-,2664729,2665868,,,,,,,,,
iroK,-,2666028,2666093,,,,,,,,,
hcaR,-,2666028,2666918,,,,,,,,,
hcaE,+,2667054,2668415,,,,,,,,,
hcaF,+,2668412,2668930,,,,,,,,,
hcaC,+,2668930,2669250,,,,,,,,,
hcaB,+,2669247,2670059,,,,,,,,,
hcaD,+,2670069,2671271,,,,,,,,,
yphA,+,2671296,2671790,,,,,,,,,
yphB,-,2671838,2672710,,,,,,,,,
yphC,-,2672722,2673783,,,,,,,,,
yphD,-,2673849,2674847,,,,,,,,,
yphE,-,2674872,2676383,,,,,,,,,
yphF,-,2676406,2677389,,,,,,,,,
yphG,-,2677486,2680767,,,,,,,,,
yphH,+,2680885,2682078,,,,,,,,,
glyA,-,2682276,2683529,,,,,,,,,
hmp,+,2683857,2685047,,,,,,,,,
glnB,-,2685092,2685430,,,,,,,,,
glrR,-,2685491,2686825,,,,,,,,,
yfhG,-,2686815,2687528,,,,,,,,,
glrK,-,2687693,2689120,,,,,,,,,
glmY,-,2689179,2689362,,,,,,,,,
purL,-,2689678,2693565,,,,,,,,,
mltF,+,2693823,2695379,,,,,,,,,
tadA,-,2695376,2695879,,,,,,,,,
pgpC,-,2695937,2696572,,,,,,,,,
yfhH,+,2696781,2697629,,,,,,,,,
yfhL,+,2697685,2697945,,,,,,,,,
shoB,-,2698139,2698219,,,,,,,,,
ohsC,+,2698542,2698618,,,,,,,,,
acpS,-,2698640,2699020,,,,,,,,,
pdxJ,-,2699020,2699751,,,,,,,,,
recO,-,2699763,2700491,,,,,,,,,
era,-,2700503,2701408,,,,,,,,,
rnc,-,2701405,2702085,,,,,,,,,
lepB,-,2702357,2703331,,,,,,,,,
lepA,-,2703347,2705146,,,,,,,,,
rseC,-,2705344,2705823,,,,,,,,,
rseB,-,2705820,2706776,,,,,,,,,
rseA,-,2706776,2707426,,,,,,,,,
rpoE,-,2707459,2708034,,,,,,,,,
nadB,+,2708442,2710064,,,,,,,,,
yfiC,-,2710049,2710786,,,,,,,,,
srmB,+,2710918,2712252,,,,,,,,,
yfiE,-,2712461,2713342,,,,,,,,,
eamB,+,2713445,2714032,,,,,,,,,
grcA,-,2714088,2714471,,,,,,,,,
ung,+,2714776,2715465,,,,,,,,,
yfiF,-,2715513,2716550,,,,,,,,,
trxC,+,2716757,2717176,,,,,,,,,
yfiP,+,2717245,2717943,,,,,,,,,
pka,+,2717975,2720635,,,,,,,,,
pssA,+,2720749,2722104,,,,,,,,,
yfiM,+,2722201,2722473,,,,,,,,,
kgtP,-,2722470,2723768,,,,,,,,,
rrfG,-,2724091,2724210,,,,,,,,,
rrlG,-,2724303,2727206,,,,,,,,,
gltW,-,2727391,2727466,,,,,,,,,
rrsG,-,2727638,2729179,,,,,,,,,
clpB,-,2729622,2732195,,,,,,,,,
ryfD,-,2732175,2732317,,,,,,,,,
yfiH,-,2732325,2733056,,,,,,,,,
rluD,-,2733053,2734033,,,,,,,,,
bamD,+,2734168,2734905,,,,,,,,,
raiA,+,2735176,2735517,,,,,,,,,
pheL,+,2735621,2735668,,,,,,,,,
pheA,+,2735767,2736927,,,,,,,,,
tyrA,-,2736970,2738091,,,,,,,,,
aroF,-,2738102,2739172,,,,,,,,,
yfiL,+,2739382,2739747,,,,,,,,,
yfiR,+,2739897,2740415,,,,,,,,,
yfiN,+,2740405,2741631,,,,,,,,,
yfiB,+,2741647,2742129,,,,,,,,,
rplS,-,2742205,2742552,,,,,,,,,
trmD,-,2742594,2743361,,,,,,,,,
rimM,-,2743392,2743940,,,,,,,,,
rpsP,-,2743959,2744207,,,,,,,,,
ffh,-,2744456,2745817,,,,,,,,,
ypjD,+,2745909,2746775,,,,,,,,,
yfjD,+,2746796,2748082,,,,,,,,,
grpE,-,2748137,2748730,,,,,,,,,
nadK,+,2748853,2749731,,,,,,,,,
recN,+,2749817,2751478,,,,,,,,,
bamE,+,2751627,2751968,,,,,,,,,
ratB,-,2752030,2752320,,,,,,,,,
ratA,-,2752310,2752786,,,,,,,,,
smpB,+,2752918,2753400,,,,,,,,,
ssrA,+,2753615,2753977,,,,,,,,,
intA,+,2754181,2755422,,,,,,,,,
yfjH,-,2755666,2756622,,,,,,,,,
alpA,+,2756666,2756878,,,,,,,,,
yfjI,+,2757007,2758416,,,,,,,,,
yfjJ,+,2758569,2759195,,,,,,,,,
abpB,-,2759373,2761562,,,,,,,,,
abpA,-,2761559,2763175,,,,,,,,,
yfjM,-,2763535,2763798,,,,,,,,,
rnlA,+,2763940,2765013,,,,,,,,,
rnlB,+,2765006,2765377,,,,,,,,,
yfjP,+,2765732,2766595,,,,,,,,,
yfjQ,+,2766687,2767508,,,,,,,,,
yfjR,+,2767725,2768426,,,,,,,,,
ypjK,+,2768467,2768703,,,,,,,,,
yfjS,+,2768703,2769146,,,,,,,,,
yfjT,+,2769170,2769637,,,,,,,,,
yfjU,-,2769862,2770176,,,,,,,,,
ypjM_3,-,2770189,2770707,,,,,,,,,
ypjM_2,-,2770858,2771058,,,,,,,,,
ypjM_1,-,2770998,2771180,,,,,,,,,
yfjW,+,2771340,2773043,,,,,,,,,
yfjX,+,2773941,2774399,,,,,,,,,
yfjY,+,2774408,2774890,,,,,,,,,
ypjJ,+,2774899,2775099,,,,,,,,,
yfjZ,+,2775137,2775454,,,,,,,,,
ypjF,+,2775475,2775804,,,,,,,,,
ypjA,-,2776168,2780748,,,,,,,,,
ypjB,-,2781660,2782451,,,,,,,,,
ypjC,-,2782551,2783033,,,,,,,,,
ileY,-,2783784,2783859,,,,,,,,,
csiD,+,2787007,2787984,,,,,,,,,
lhgO,+,2788004,2789272,,,,,,,,,
gabD,+,2789295,2790743,,,,,,,,,
gabT,+,2790757,2792037,,,,,,,,,
gabP,+,2792275,2793675,,,,,,,,,
csiR,+,2793696,2794358,,,,,,,,,
ygaU,-,2794359,2794808,,,,,,,,,
yqaE,-,2794892,2795050,,,,,,,,,
ygaV,+,2795233,2795532,,,,,,,,,
ygaP,+,2795542,2796066,,,,,,,,,
stpA,-,2796113,2796517,,,,,,,,,
alaE,+,2797186,2797635,,,,,,,,,
ygaC,-,2797672,2798016,,,,,,,,,
ygaM,+,2798168,2798497,,,,,,,,,
nrdH,+,2798745,2798990,,,,,,,,,
nrdI,+,2798987,2799397,,,,,,,,,
nrdE,+,2799370,2801514,,,,,,,,,
nrdF,+,2801524,2802483,,,,,,,,,
proV,+,2802837,2804039,,,,,,,,,
proW,+,2804032,2805096,,,,,,,,,
proX,+,2805154,2806146,,,,,,,,,
ygaX,+,2806338,2806604,,,,,,,,,
ygaY,+,2806634,2807515,,,,,,,,,
ygaZ,+,2807639,2808376,,,,,,,,,
ygaH,+,2808366,2808701,,,,,,,,,
mprA,+,2808792,2809322,,,,,,,,,
emrA,+,2809449,2810621,,,,,,,,,
emrB,+,2810638,2812176,,,,,,,,,
luxS,-,2812240,2812755,,,,,,,,,
micA,+,2812824,2812895,,,,,,,,,
gshA,-,2812905,2814461,,,,,,,,,
yqaA,-,2814534,2814962,,,,,,,,,
yqaB,-,2814959,2815525,,,,,,,,,
argQ,-,2815806,2815882,,,,,,,,,
argZ,-,2816081,2816157,,,,,,,,,
argY,-,2816220,2816296,,,,,,,,,
argV,-,2816495,2816571,,,,,,,,,
serV,-,2816575,2816667,,,,,,,,,
csrA,-,2816983,2817168,,,,,,,,,
alaS,-,2817403,2820033,,,,,,,,,
recX,-,2820161,2820661,,,,,,,,,
recA,-,2820730,2821791,,,,,,,,,
pncC,-,2821871,2822368,,,,,,,,,
mltB,-,2822513,2823598,,,,,,,,,
srlA,+,2823854,2824417,,,,,,,,,
srlE,+,2824414,2825373,,,,,,,,,
srlB,+,2825384,2825755,,,,,,,,,
srlD,+,2825759,2826538,,,,,,,,,
gutM,+,2826643,2827002,,,,,,,,,
srlR,+,2827069,2827842,,,,,,,,,
gutQ,+,2827835,2828800,,,,,,,,,
norR,-,2828797,2830311,,,,,,,,,
norV,+,2830498,2831937,,,,,,,,,
norW,+,2831934,2833067,,,,,,,,,
C0664,+,2833077,2833189,,,,,,,,,
hypF,-,2833195,2835447,,,,,,,,,
hydN,-,2835600,2836127,,,,,,,,,
ascG,-,2836276,2837286,,,,,,,,,
ascF,+,2837546,2839003,,,,,,,,,
ascB,+,2839012,2840436,,,,,,,,,
hycI,-,2840595,2841065,,,,,,,,,
hycH,-,2841058,2841468,,,,,,,,,
hycG,-,2841465,2842232,,,,,,,,,
hycF,-,2842232,2842774,,,,,,,,,
hycE,-,2842784,2844493,,,,,,,,,
hycD,-,2844511,2845434,,,,,,,,,
hycC,-,2845437,2847263,,,,,,,,,
hycB,-,2847260,2847871,,,,,,,,,
hycA,-,2847996,2848457,,,,,,,,,
hypA,+,2848669,2849019,,,,,,,,,
hypB,+,2849023,2849895,,,,,,,,,
hypC,+,2849886,2850158,,,,,,,,,
hypD,+,2850158,2851279,,,,,,,,,
hypE,+,2851318,2852286,,,,,,,,,
fhlA,+,2852360,2854438,,,,,,,,,
ygbA,-,2854475,2854828,,,,,,,,,
mutS,+,2855115,2857676,,,,,,,,,
pphB,+,2857782,2858438,,,,,,,,,
ygbI,-,2858489,2859286,,,,,,,,,
ygbJ,+,2859452,2860360,,,,,,,,,
ygbK,+,2860357,2861523,,,,,,,,,
ygbL,+,2861615,2862253,,,,,,,,,
ygbM,+,2862258,2863034,,,,,,,,,
ygbN,+,2863123,2864487,,,,,,,,,
rpoS,-,2864581,2865573,,,,,,,,,
nlpD,-,2865636,2866775,,,,,,,,,
pcm,-,2866915,2867541,,,,,,,,,
umpG,-,2867535,2868296,,,,,,,,,
truD,-,2868277,2869326,,,,,,,,,
ispF,-,2869323,2869802,,,,,,,,,
ispD,-,2869802,2870512,,,,,,,,,
ftsB,-,2870531,2870842,,,,,,,,,
ygbE,-,2871036,2871359,,,,,,,,,
cysC,-,2871409,2872014,,,,,,,,,
cysN,-,2872014,2873441,,,,,,,,,
cysD,-,2873443,2874351,,,,,,,,,
iap,+,2874603,2875640,,,,,,,,,
cas2,-,2876591,2876875,,,,,,,,,
cas1,-,2876877,2877794,,,,,,,,,
casE,-,2877810,2878409,,,,,,,,,
casD,-,2878396,2879070,,,,,,,,,
casC,-,2879073,2880164,,,,,,,,,
casB,-,2880177,2880659,,,,,,,,,
casA,-,2880652,2882160,,,,,,,,,
cas3,-,2882575,2885241,,,,,,,,,
sokX,+,2885375,2885430,,,,,,,,,
cysH,-,2885600,2886334,,,,,,,,,
cysI,-,2886409,2888121,,,,,,,,,
cysJ,-,2888121,2889920,,,,,,,,,
queD,+,2890236,2890601,,,,,,,,,
ygcN,+,2890679,2891950,,,,,,,,,
ygcO,+,2891941,2892201,,,,,,,,,
ygcP,+,2892218,2892793,,,,,,,,,
ygcQ,-,2892941,2893801,,,,,,,,,
ygcR,-,2893798,2894577,,,,,,,,,
ygcS,-,2894555,2895892,,,,,,,,,
ygcU,-,2895986,2897440,,,,,,,,,
ygcW,-,2897510,2898295,,,,,,,,,
yqcE,+,2898614,2899891,,,,,,,,,
ygcE,+,2899918,2901396,,,,,,,,,
queE,-,2902769,2903440,,,,,,,,,
yqcG,+,2903579,2903719,,,,,,,,,
ygcG,+,2903733,2904605,,,,,,,,,
eno,-,2904665,2905963,,,,,,,,,
pyrG,-,2906051,2907688,,,,,,,,,
mazG,-,2907916,2908707,,,,,,,,,
mazF,-,2908778,2909113,,,,,,,,,
mazE,-,2909113,2909361,,,,,,,,,
relA,-,2909439,2911673,,,,,,,,,
rlmD,-,2911721,2913022,,,,,,,,,
barA,+,2913079,2915835,,,,,,,,,
gudD,-,2916067,2917407,,,,,,,,,
gudX,-,2917428,2918768,,,,,,,,,
gudP,-,2918770,2920122,,,,,,,,,
yqcA,-,2920557,2921006,,,,,,,,,
truC,-,2921024,2921806,,,,,,,,,
yqcC,-,2921806,2922135,,,,,,,,,
csrB,-,2922178,2922546,,,,,,,,,
syd,-,2922757,2923302,,,,,,,,,
queF,+,2923370,2924218,,,,,,,,,
ygdH,+,2924330,2925694,,,,,,,,,
sdaC,+,2926251,2927540,,,,,,,,,
sdaB,+,2927598,2928965,,,,,,,,,
ygdG,+,2928987,2929832,,,,,,,,,
fucO,-,2929887,2931035,,,,,,,,,
fucA,-,2931063,2931710,,,,,,,,,
fucP,+,2932257,2933573,,,,,,,,,
fucI,+,2933606,2935381,,,,,,,,,
fucK,+,2935460,2936908,,,,,,,,,
fucU,+,2936910,2937332,,,,,,,,,
fucR,+,2937390,2938121,,,,,,,,,
rlmM,-,2938165,2939265,,,,,,,,,
ygdD,-,2939258,2939653,,,,,,,,,
gcvA,-,2939672,2940589,,,,,,,,,
gcvB,+,2940718,2940922,,,,,,,,,
ygdI,-,2940940,2941167,,,,,,,,,
csdA,+,2941359,2942564,,,,,,,,,
csdE,+,2942564,2943007,,,,,,,,,
tcdA,-,2943058,2943864,,,,,,,,,
mltA,-,2944103,2945200,,,,,,,,,
metZ,+,2945409,2945485,,,,,,,,,
metW,+,2945519,2945595,,,,,,,,,
metV,+,2945629,2945705,,,,,,,,,
amiC,-,2945779,2947032,,,,,,,,,
argA,+,2947264,2948595,,,,,,,,,
recD,-,2948657,2950483,,,,,,,,,
recB,-,2950483,2954025,,,,,,,,,
ptrA,-,2954018,2956906,,,,,,,,,
recC,-,2957082,2960450,,,,,,,,,
ppdC,-,2960463,2960786,,,,,,,,,
ygdB,-,2960771,2961178,,,,,,,,,
ppdB,-,2961175,2961738,,,,,,,,,
ppdA,-,2961729,2962199,,,,,,,,,
thyA,-,2962383,2963177,,,,,,,,,
lgt,-,2963184,2964059,,,,,,,,,
ptsP,-,2964210,2966456,,,,,,,,,
rppH,-,2966469,2966999,,,,,,,,,
ygdT,-,2967352,2967498,,,,,,,,,
mutH,+,2967684,2968373,,,,,,,,,
ygdQ,+,2968442,2969155,,,,,,,,,
ygdR,+,2969293,2969511,,,,,,,,,
tas,+,2969619,2970659,,,,,,,,,
lplT,-,2970691,2971884,,,,,,,,,
aas,-,2971877,2974036,,,,,,,,,
omrA,-,2974124,2974211,,,,,,,,,
omrB,-,2974326,2974407,,,,,,,,,
galR,+,2974621,2975652,,,,,,,,,
lysA,-,2975659,2976921,,,,,,,,,
lysR,+,2977043,2977978,,,,,,,,,
ygeA,-,2977965,2978657,,,,,,,,,
araE,-,2978786,2980204,,,,,,,,,
kduD,-,2980519,2981280,,,,,,,,,
kduI,-,2981310,2982146,,,,,,,,,
yqeF,-,2982433,2983614,,,,,,,,,
yqeG,+,2983869,2985098,,,,,,,,,
yqeH,+,2985558,2986190,,,,,,,,,
yqeI,+,2986524,2987333,,,,,,,,,
yqeJ,+,2987326,2987808,,,,,,,,,
yqeL,-,2987841,2987921,,,,,,,,,
yqeK,-,2987957,2988382,,,,,,,,,
ygeF,+,2988576,2989022,,,,,,,,,
ygeG,+,2989290,2989781,,,,,,,,,
ygeH,+,2990116,2991492,,,,,,,,,
ygeI,+,2991660,2991878,,,,,,,,,
ygeK,-,2992482,2992925,,,,,,,,,
ygeL,-,2992959,2993114,,,,,,,,,
ygeM,-,2993336,2993767,,,,,,,,,
ygeO,-,2993984,2994409,,,,,,,,,
insD-4,-,2994394,2995299,,,,,,,,,
insCD-4,-,2994394,2995667,,,,,,,,,
insC-4,-,2995257,2995667,,,,,,,,,
ygeP,-,2995711,2996010,,,,,,,,,
ygeQ,-,2996056,2996850,,,,,,,,,
glyU,-,2997006,2997079,,,,,,,,,
ygeR,-,2997158,2997913,,,,,,,,,
xdhA,+,2998367,3000625,,,,,,,,,
xdhB,+,3000636,3001514,,,,,,,,,
xdhC,+,3001511,3001990,,,,,,,,,
ygeV,-,3002030,3003808,,,,,,,,,
ygeW,+,3004284,3005474,,,,,,,,,
ygeX,+,3005532,3006728,,,,,,,,,
ygeY,+,3006786,3007997,,,,,,,,,
hyuA,+,3008050,3009435,,,,,,,,,
yqeA,+,3009483,3010415,,,,,,,,,
yqeB,-,3010636,3012261,,,,,,,,,
yqeC,-,3012309,3013079,,,,,,,,,
mocA,+,3013182,3013760,,,,,,,,,
ygfK,+,3014082,3017180,,,,,,,,,
ssnA,+,3017183,3018511,,,,,,,,,
ygfM,+,3018562,3019341,,,,,,,,,
xdhD,+,3019338,3022208,,,,,,,,,
xanQ,+,3022373,3023773,,,,,,,,,
guaD,+,3023788,3025107,,,,,,,,,
ghxQ,+,3025143,3026510,,,,,,,,,
ygfS,-,3026546,3027034,,,,,,,,,
ygfT,-,3027034,3028953,,,,,,,,,
uacT,+,3029389,3030837,,,,,,,,,
yqfG,+,3030839,3030964,,,,,,,,,
idi,+,3031087,3031635,,,,,,,,,
lysS,-,3031679,3033196,,,,,,,,,
prfB,-,3033206,3034304,,,,,,,,,
recJ,-,3034395,3036128,,,,,,,,,
dsbC,-,3036134,3036844,,,,,,,,,
xerD,-,3036869,3037765,,,,,,,,,
fldB,+,3037877,3038398,,,,,,,,,
cptA,-,3038438,3038845,,,,,,,,,
sdhE,-,3038826,3039092,,,,,,,,,
ygfZ,+,3039335,3040315,,,,,,,,,
yqfA,-,3040511,3041170,,,,,,,,,
yqfB,-,3041334,3041645,,,,,,,,,
bglA,+,3041684,3043123,,,,,,,,,
ygfF,-,3043180,3043923,,,,,,,,,
gcvP,-,3044190,3047063,,,,,,,,,
gcvH,-,3047182,3047571,,,,,,,,,
gcvT,-,3047595,3048689,,,,,,,,,
ubiI,-,3049137,3050339,,,,,,,,,
ubiH,-,3050362,3051540,,,,,,,,,
pepP,-,3051537,3052862,,,,,,,,,
ygfB,-,3052888,3053466,,,,,,,,,
zapA,+,3053634,3053963,,,,,,,,,
ssrS,+,3054005,3054187,,,,,,,,,
fau,+,3054263,3054811,,,,,,,,,
sibC,+,3054873,3055013,,,,,,,,,
ibsC,-,3054912,3054971,,,,,,,,,
serA,-,3055200,3056432,,,,,,,,,
rpiA,-,3056688,3057347,,,,,,,,,
yqfE,-,3057403,3057633,,,,,,,,,
argP,+,3057775,3058668,,,,,,,,,
scpA,+,3058872,3061016,,,,,,,,,
argK,+,3061009,3062004,,,,,,,,,
scpB,+,3062015,3062800,,,,,,,,,
scpC,+,3062824,3064302,,,,,,,,,
ygfI,-,3064299,3065195,,,,,,,,,
G0-10701,+,3065209,3065366,,,,,,,,,
yggE,-,3065362,3066102,,,,,,,,,
argO,-,3066195,3066830,,,,,,,,,
mscS,-,3066969,3067829,,,,,,,,,
fbaA,-,3068187,3069266,,,,,,,,,
pgk,-,3069481,3070644,,,,,,,,,
epd,-,3070694,3071713,,,,,,,,,
yggC,-,3071998,3072711,,,,,,,,,
yggD,-,3072708,3073217,,,,,,,,,
yggF,-,3073239,3074204,,,,,,,,,
yggP,-,3074201,3075478,,,,,,,,,
cmtA,-,3075493,3076881,,,,,,,,,
cmtB,-,3076909,3077352,,,,,,,,,
tktA,-,3077666,3079657,,,,,,,,,
loiP,+,3079935,3080693,,,,,,,,,
speB,-,3080899,3081819,,,,,,,,,
speA,-,3081957,3083933,,,,,,,,,
yqgB,-,3083942,3084073,,,,,,,,,
yqgC,+,3084209,3084424,,,,,,,,,
yqgD,-,3084421,3084672,,,,,,,,,
metK,+,3084728,3085882,,,,,,,,,
galP,+,3086306,3087700,,,,,,,,,
yggI,+,3087777,3088274,,,,,,,,,
endA,+,3088369,3089076,,,,,,,,,
rsmE,+,3089156,3089887,,,,,,,,,
gshB,+,3089900,3090850,,,,,,,,,
yqgE,+,3090959,3091522,,,,,,,,,
yqgF,+,3091522,3091938,,,,,,,,,
yggR,-,3092122,3093102,,,,,,,,,
yggS,+,3093120,3093824,,,,,,,,,
yggT,+,3093842,3094408,,,,,,,,,
yggU,+,3094405,3094695,,,,,,,,,
rdgB,+,3094703,3095296,,,,,,,,,
yggW,+,3095289,3096425,,,,,,,,,
yggM,-,3096580,3097587,,,,,,,,,
ansB,-,3097704,3098750,,,,,,,,,
yggN,-,3098926,3099645,,,,,,,,,
yggL,-,3099829,3100155,,,,,,,,,
trmI,-,3100155,3100874,,,,,,,,,
mutY,+,3101035,3102087,,,,,,,,,
yggX,+,3102115,3102390,,,,,,,,,
mltC,+,3102455,3103534,,,,,,,,,
nupG,+,3103736,3104992,,,,,,,,,
speC,-,3105042,3107177,,,,,,,,,
yqgA,+,3107575,3108282,,,,,,,,,
pheV,+,3108388,3108463,,,,,,,,,
yghD,-,3108612,3109148,,,,,,,,,
yghF,-,3110076,3110942,,,,,,,,,
yghG,-,3111089,3111499,,,,,,,,,
pppA,-,3111565,3112374,,,,,,,,,
yghJ,-,3112572,3117134,,,,,,,,,
glcA,-,3117619,3119301,,,,,,,,,
C0719,+,3119380,3119601,,,,,,,,,
glcB,-,3119656,3121827,,,,,,,,,
glcG,-,3121849,3122253,,,,,,,,,
glcF,-,3122258,3123481,,,,,,,,,
glcE,-,3123492,3124544,,,,,,,,,
glcD,-,3124544,3126043,,,,,,,,,
glcC,+,3126294,3127058,,,,,,,,,
yghO,-,3127065,3128237,,,,,,,,,
insH-9,+,3128200,3129216,,,,,,,,,
yghQ,-,3129363,3130430,,,,,,,,,
yghR,-,3130476,3131234,,,,,,,,,
yghS,-,3131266,3131979,,,,,,,,,
yghT,+,3132153,3132845,,,,,,,,,
pitB,-,3132894,3134393,,,,,,,,,
gss,-,3134685,3136544,,,,,,,,,
yghU,+,3136749,3137615,,,,,,,,,
hybG,-,3137738,3137986,,,,,,,,,
hybF,-,3137999,3138340,,,,,,,,,
hybE,-,3138333,3138821,,,,,,,,,
hybD,-,3138814,3139308,,,,,,,,,
hybC,-,3139308,3141011,,,,,,,,,
hybB,-,3141008,3142186,,,,,,,,,
hybA,-,3142176,3143162,,,,,,,,,
hybO,-,3143165,3144283,,,,,,,,,
yghW,-,3144472,3144759,,,,,,,,,
yghZ,+,3145919,3146959,,,,,,,,,
yqhA,-,3146999,3147493,,,,,,,,,
yghA,+,3147684,3148568,,,,,,,,,
exbD,-,3148840,3149265,,,,,,,,,
